timestamp,t_seconds,arduino_time_s,arduino_raw_line,pressure_psig,pump_on,voltage_V,current_A,latest_command,actuator_19_cmd,actuator_15_cmd,actuator_18_cmd,actuator_12_cmd
2026-05-26T14:18:39.475,0.0000,,Arming ESC...,,0,12.02,0.048,,,,,
2026-05-26T14:18:39.683,0.2093,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:39.892,0.4183,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:40.100,0.6261,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:40.307,0.8342,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:40.515,1.0415,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:40.724,1.2498,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:40.932,1.4583,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:41.141,1.6669,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:41.348,1.8751,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:41.556,2.0822,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:41.785,2.3113,,,,0,12.02,0.048,,,,,
2026-05-26T14:18:42.000,2.5190,3.001,"3.001,22.28,0",22.28,0,12.02,0.048,,,,,
2026-05-26T14:18:42.208,2.7343,3.201,"3.201,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:42.416,2.9417,3.401,"3.401,17.20,0",17.2,0,12.02,0.048,,,,,
2026-05-26T14:18:42.624,3.1503,3.601,"3.601,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:42.832,3.3581,3.801,"3.801,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:43.041,3.5671,4.001,"4.001,16.81,0",16.81,0,12.02,0.048,,,,,
2026-05-26T14:18:43.251,3.7762,4.201,"4.201,17.39,0",17.39,0,12.02,0.048,,,,,
2026-05-26T14:18:43.462,3.9867,4.401,"4.401,17.20,0",17.2,0,12.02,0.048,,,,,
2026-05-26T14:18:43.670,4.1962,4.601,"4.601,16.81,0",16.81,0,12.02,0.048,,,,,
2026-05-26T14:18:43.879,4.4045,4.801,"4.801,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:44.088,4.6138,5.001,"5.001,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:44.298,4.8225,5.301,"5.301,17.20,0",17.2,0,12.02,0.048,,,,,
2026-05-26T14:18:44.506,5.0331,5.501,"5.501,17.98,0",17.98,0,12.02,0.048,,,,,
2026-05-26T14:18:44.715,5.2408,5.701,"5.701,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:44.924,5.4496,5.901,"5.901,16.91,0",16.91,0,12.02,0.048,,,,,
2026-05-26T14:18:45.133,5.6586,6.102,"6.102,17.79,0",17.79,0,12.02,0.048,,,,,
2026-05-26T14:18:45.342,5.8677,6.302,"6.302,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:45.551,6.0769,6.502,"6.502,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:45.760,6.2856,6.702,"6.702,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:45.968,6.4946,6.902,"6.902,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:46.176,6.7028,7.102,"7.102,16.81,0",16.81,0,12.02,0.048,,,,,
2026-05-26T14:18:46.385,6.9106,7.302,"7.302,16.81,0",16.81,0,12.02,0.048,,,,,
2026-05-26T14:18:46.594,7.1193,7.502,"7.502,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:46.804,7.3287,7.802,"7.802,16.71,0",16.71,0,12.02,0.048,,,,,
2026-05-26T14:18:47.012,7.5383,8.002,"8.002,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:47.222,7.7468,8.202,"8.202,16.81,0",16.81,0,12.02,0.048,,,,,
2026-05-26T14:18:47.431,7.9565,8.402,"8.402,16.71,0",16.71,0,12.02,0.048,,,,,
2026-05-26T14:18:47.640,8.1656,8.602,"8.602,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:47.849,8.3745,8.802,"8.802,19.25,0",19.25,0,12.02,0.048,,,,,
2026-05-26T14:18:48.059,8.5840,9.003,"9.003,22.67,0",22.67,0,12.02,0.048,,,,,
2026-05-26T14:18:48.269,8.7931,9.203,"9.203,19.15,0",19.15,0,12.02,0.048,,,,,
2026-05-26T14:18:48.478,9.0034,9.403,"9.403,17.39,0",17.39,0,12.02,0.048,,,,,
2026-05-26T14:18:48.687,9.2129,9.603,"9.603,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:48.895,9.4209,9.803,"9.803,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:49.104,9.6294,10.103,"10.103,17.00,0",17.0,0,12.02,0.048,,,,,
2026-05-26T14:18:49.313,9.8389,10.303,"10.303,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:49.522,10.0474,10.503,"10.503,16.81,0",16.81,0,12.02,0.048,,,,,
2026-05-26T14:18:49.730,10.2568,10.703,"10.703,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:49.938,10.4643,10.903,"10.903,16.91,0",16.91,0,12.02,0.048,,,,,
2026-05-26T14:18:50.148,10.6728,11.103,"11.103,17.20,0",17.2,0,12.02,0.048,,,,,
2026-05-26T14:18:50.356,10.8823,11.303,"11.303,16.71,0",16.71,0,12.02,0.048,,,,,
2026-05-26T14:18:50.566,11.0908,11.503,"11.503,20.82,0",20.82,0,12.02,0.048,,,,,
2026-05-26T14:18:50.774,11.3005,11.703,"11.703,21.30,0",21.3,0,12.02,0.048,,,,,
2026-05-26T14:18:50.983,11.5084,11.904,"11.904,17.20,0",17.2,0,12.02,0.048,,,,,
2026-05-26T14:18:51.192,11.7178,12.104,"12.104,16.91,0",16.91,0,12.02,0.048,,,,,
2026-05-26T14:18:51.401,11.9265,12.404,"12.404,17.69,0",17.69,0,12.02,0.048,,,,,
2026-05-26T14:18:51.610,12.1358,12.604,"12.604,22.58,0",22.58,0,12.02,0.048,,,,,
2026-05-26T14:18:51.819,12.3449,12.804,"12.804,16.91,0",16.91,0,12.02,0.048,,,,,
2026-05-26T14:18:52.029,12.5536,13.004,"13.004,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:52.237,12.7632,13.204,"13.204,17.59,0",17.59,0,12.02,0.048,,,,,
2026-05-26T14:18:52.446,12.9711,13.404,"13.404,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:52.654,13.1801,13.604,"13.604,16.71,0",16.71,0,12.02,0.048,,,,,
2026-05-26T14:18:52.863,13.3890,13.804,"13.804,16.81,0",16.81,0,12.02,0.048,,,,,
2026-05-26T14:18:53.072,13.5975,14.004,"14.004,17.10,0",17.1,0,12.02,0.048,,,,,
2026-05-26T14:18:53.280,13.8062,14.204,"14.204,16.81,0",16.81,0,12.02,0.048,,,,,
2026-05-26T14:18:53.489,14.0146,14.404,"14.404,20.23,1",20.23,1,12.02,0.048,,,,,
2026-05-26T14:18:53.704,14.2237,14.704,"14.704,16.32,1",16.32,1,12.017,0.528,,,,,
2026-05-26T14:18:53.914,14.4390,14.904,"14.904,17.98,1",17.98,1,12.017,0.127,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:54.123,14.6482,15.104,"15.104,16.61,1",16.61,1,12.029,0.127,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:54.333,14.8574,15.304,"15.304,17.79,1",17.79,1,12.027,0.505,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:54.544,15.0676,15.504,"15.504,17.10,1",17.1,1,12.024,0.945,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:54.753,15.2780,15.704,"15.704,21.40,1",21.4,1,12.022,1.331,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:54.962,15.4875,15.904,"15.904,16.81,1",16.81,1,12.022,5.111,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:55.170,15.6962,16.104,"16.104,16.61,1",16.61,1,11.949,5.111,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:55.378,15.9043,16.304,"16.304,16.81,1",16.81,1,11.979,5.208,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:55.586,16.1119,16.504,"16.504,16.22,1",16.22,1,11.966,5.679,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:55.796,16.3208,16.704,"16.704,25.12,1",25.12,1,11.103,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:56.006,16.5310,17.004,"17.004,21.70,1",21.7,1,11.103,6.226,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:56.215,16.7398,17.204,"17.204,18.18,1",18.18,1,10.493,6.226,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:56.424,16.9492,17.404,"17.404,17.39,1",17.39,1,10.353,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:56.632,17.1584,17.604,"17.604,16.71,1",16.71,1,10.313,6.219,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:56.842,17.3666,17.804,"17.804,17.30,1",17.3,1,10.423,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:57.050,17.5759,18.004,"18.004,16.71,1",16.71,1,10.423,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:57.259,17.7844,18.204,"18.204,17.79,1",17.79,1,10.463,6.226,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:57.468,17.9932,18.404,"18.404,18.76,1",18.76,1,10.513,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:57.676,18.2020,18.604,"18.604,16.61,1",16.61,1,10.453,6.226,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:57.884,18.4106,18.804,"18.804,18.86,1",18.86,1,10.453,6.227,ex 0 19,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:58.094,18.6193,19.004,"19.004,17.00,1",17.0,1,10.473,6.227,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:58.303,18.8286,19.304,"19.304,16.81,1",16.81,1,11.783,6.142,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:58.512,19.0381,19.504,"19.504,17.88,1",17.88,1,11.977,5.427,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:58.721,19.2470,19.704,"19.704,16.61,1",16.61,1,11.967,5.519,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:58.930,19.4557,19.904,"19.904,18.47,1",18.47,1,11.967,5.504,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:59.139,19.6644,20.104,"20.104,17.69,1",17.69,1,11.967,5.504,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:59.348,19.8733,20.304,"20.304,16.71,1",16.71,1,11.967,5.567,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:18:59.556,20.0823,20.504,"20.504,19.45,1",19.45,1,11.977,5.522,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:59.765,20.2909,20.704,"20.704,16.81,1",16.81,1,11.954,6.046,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:18:59.973,20.4992,20.904,"20.904,17.00,1",17.0,1,11.954,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:00.181,20.7076,21.104,"21.104,16.71,1",16.71,1,11.133,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:00.391,20.9156,21.304,"21.304,18.57,1",18.57,1,10.723,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:00.600,21.1254,21.504,"21.504,16.81,1",16.81,1,10.693,6.226,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:00.810,21.3348,21.804,"21.804,17.00,1",17.0,1,10.693,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:01.020,21.5445,22.004,"22.004,17.10,1",17.1,1,10.703,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:01.229,21.7543,22.204,"22.204,16.52,1",16.52,1,10.823,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:01.438,21.9632,22.404,"22.404,16.32,1",16.32,1,10.733,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:01.646,22.1724,22.604,"22.604,16.81,1",16.81,1,10.713,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:01.855,22.3808,22.804,"22.804,17.00,1",17.0,1,10.713,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:02.064,22.5891,23.004,"23.004,17.88,1",17.88,1,10.873,6.228,ex 0 19,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:02.273,22.7981,23.204,"23.204,16.81,1",16.81,1,10.823,6.228,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:02.481,23.0068,23.404,"23.404,16.71,1",16.71,1,11.964,4.383,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:02.689,23.2151,23.604,"23.604,15.93,1",15.93,1,11.953,4.58,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:02.899,23.4236,23.804,"23.804,17.88,1",17.88,1,11.953,4.898,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:03.108,23.6333,24.104,"24.104,16.71,1",16.71,1,11.961,4.898,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:03.317,23.8423,24.304,"24.304,16.52,1",16.52,1,11.959,5.186,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:03.526,24.0512,24.504,"24.504,16.91,1",16.91,1,11.967,5.441,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:03.735,24.2609,24.704,"24.704,16.81,1",16.81,1,11.967,5.491,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:03.944,24.4698,24.904,"24.904,16.32,1",16.32,1,11.967,5.491,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:04.153,24.6780,25.104,"25.104,16.52,1",16.52,1,11.843,6.198,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:04.363,24.8883,25.304,"25.304,16.91,1",16.91,1,11.873,4.468,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:04.572,25.0970,25.504,"25.504,16.61,1",16.61,1,11.66,5.077,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:04.781,25.3067,25.704,"25.704,16.32,1",16.32,1,11.66,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:04.990,25.5159,25.904,"25.904,18.47,1",18.47,1,11.023,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:05.200,25.7255,26.104,"26.104,16.81,1",16.81,1,11.053,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:05.410,25.9350,26.404,"26.404,17.00,1",17.0,1,11.043,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:05.618,26.1444,26.604,"26.604,17.00,1",17.0,1,11.103,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:05.827,26.3526,26.804,"26.804,15.93,1",15.93,1,11.103,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:06.037,26.5619,27.004,"27.004,18.86,1",18.86,1,11.043,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:06.246,26.7719,27.204,"27.204,21.60,1",21.6,1,11.023,6.228,bb5 15,ex 0 19,bb5 15,ex 0 18,ex 0 12
2026-05-26T14:19:06.456,26.9804,27.404,"27.404,18.47,1",18.47,1,11.083,6.227,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:06.665,27.1909,27.604,"27.604,16.42,1",16.42,1,11.977,5.447,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:06.875,27.3997,27.804,"27.804,19.15,1",19.15,1,11.977,5.273,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:07.083,27.6089,28.004,"28.004,17.69,1",17.69,1,11.978,5.273,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:07.292,27.8178,28.204,"28.204,16.52,1",16.52,1,11.979,5.212,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:07.502,28.0264,28.404,"28.404,20.43,1",20.43,1,11.968,5.266,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:07.713,28.2370,28.704,"28.704,16.81,1",16.81,1,11.968,5.259,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:07.921,28.4478,28.904,"28.904,15.83,1",15.83,1,11.968,5.259,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:08.129,28.6557,29.104,"29.104,16.52,1",16.52,1,11.967,5.446,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:08.338,28.8638,29.304,"29.304,16.42,1",16.42,1,11.633,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:08.547,29.0730,29.504,"29.504,20.13,1",20.13,1,11.273,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:08.756,29.2818,29.704,"29.704,15.73,1",15.73,1,11.273,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:08.965,29.4903,29.904,"29.904,17.88,1",17.88,1,11.133,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:09.174,29.6994,30.104,"30.104,20.03,1",20.03,1,11.153,6.226,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:09.383,29.9083,30.304,"30.304,17.39,1",17.39,1,11.173,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:09.593,30.1171,30.504,"30.504,16.42,1",16.42,1,11.979,3.488,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:09.802,30.3270,30.704,"30.704,17.49,1",17.49,1,11.979,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:10.015,30.5361,31.004,"31.004,16.32,1",16.32,1,11.063,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:10.224,30.7491,31.204,"31.204,20.52,1",20.52,1,11.293,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:10.433,30.9588,31.404,"31.404,16.32,1",16.32,1,11.173,6.228,ex 0 18,ex 0 19,bb5 15,ex 0 18,ex 0 12
2026-05-26T14:19:10.642,31.1679,31.604,"31.604,16.42,1",16.42,1,11.683,6.216,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:10.852,31.3770,31.804,"31.804,16.52,1",16.52,1,11.683,5.306,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:11.061,31.5872,32.004,"32.004,16.32,1",16.32,1,11.978,5.306,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:11.271,31.7949,32.204,"32.204,16.42,1",16.42,1,11.978,5.301,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:11.480,32.0053,32.404,"32.404,23.65,1",23.65,1,11.978,5.294,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:11.688,32.2140,32.604,"32.604,16.12,1",16.12,1,11.978,5.362,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:11.897,32.4226,32.804,"32.804,18.47,1",18.47,1,11.978,5.362,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:12.105,32.6312,33.004,"33.004,17.49,1",17.49,1,11.978,5.34,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:12.313,32.8398,33.304,"33.304,16.61,1",16.61,1,11.966,5.649,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:12.522,33.0476,33.504,"33.504,16.22,1",16.22,1,11.703,6.225,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:12.731,33.2565,33.704,"33.704,16.22,1",16.22,1,11.703,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:12.940,33.4654,33.904,"33.904,16.52,1",16.52,1,11.353,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:13.150,33.6748,34.104,"34.104,17.59,1",17.59,1,11.253,6.228,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:13.359,33.8848,34.304,"34.304,20.33,1",20.33,1,11.696,5.647,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:13.568,34.0936,34.504,"34.504,18.76,1",18.76,1,11.363,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:13.778,34.3028,34.704,"34.704,17.00,1",17.0,1,11.363,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:13.988,34.5129,34.904,"34.904,16.61,1",16.61,1,11.393,6.227,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:14.197,34.7227,35.104,"35.104,16.52,1",16.52,1,11.313,6.229,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:14.406,34.9316,35.304,"35.304,16.22,1",16.22,1,11.57,4.982,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:14.617,35.1408,35.604,"35.604,17.20,1",17.2,1,11.493,6.228,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:14.825,35.3510,35.804,"35.804,19.94,1",19.94,1,11.493,6.074,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:15.034,35.5597,36.004,"36.004,16.52,1",16.52,1,11.724,6.074,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:15.243,35.7690,36.204,"36.204,16.12,1",16.12,1,11.979,5.187,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:15.453,35.9780,36.404,"36.404,16.22,1",16.22,1,11.979,5.224,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:15.662,36.1872,36.604,"36.604,16.81,1",16.81,1,11.979,5.221,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:15.871,36.3969,36.804,"36.804,17.49,1",17.49,1,11.969,5.221,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:16.081,36.6057,37.004,"37.004,16.91,1",16.91,1,11.978,5.264,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-26T14:19:16.289,36.8147,37.204,"37.204,16.71,1",16.71,1,11.978,5.278,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-26T14:19:16.498,37.0236,37.404,"37.404,22.38,1",22.38,1,11.964,5.92,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
